Origin,Airline,Time,On_Time,Late,Probability_Late,Distributions,Parameters
ORD,NK,3,4,1,0.2,beta,"(1.0452772226791955, 1.0146680401470316, 29.999999999999996, 7.14483498179756e-15)"
ALB,B6,2,6,2,0.25,lognorm,"(7.312791572421707, 7.999999999999999, 1.1748272978265795)"
ALB,B6,3,6,8,0.5714285714285714,weibull_min,"(0.7261684532605348, 11.999999999999998, 46.616013657218474)"
ALB,WN,1,277,39,0.12341772151898735,lognorm,"(1.2042890199698897, 1.3247770678705146, 9.385418686396811)"
ALB,WN,2,207,70,0.2527075812274368,lognorm,"(1.3094864049416404, 0.44511048615237003, 13.373753932380664)"
ALB,WN,3,48,28,0.3684210526315789,weibull_min,"(0.7191892091981797, 3.999999999999999, 116.10213233767783)"
ACY,NK,1,243,81,0.25,weibull_min,"(0.8089094359497158, 0.9999999999999998, 15.735611199690254)"
ACY,NK,2,71,66,0.4817518248175183,lognorm,"(1.6499659849007262, 0.724817811947474, 13.001879933657314)"
ACY,NK,3,155,178,0.5345345345345346,lognorm,"(1.1475706300440902, -1.0525177494179168, 25.401126393115995)"
MHT,WN,1,292,33,0.10153846153846154,gamma,"(0.5919511230117303, 0.9999999999999998, 33.548680056817645)"
MHT,WN,2,218,71,0.24567474048442905,lognorm,"(1.2063074657333503, 0.5357094551946026, 13.382369647087376)"
MHT,WN,3,35,55,0.6111111111111112,weibull_min,"(0.7565280853007679, 1.9999999999999998, 78.06717133906727)"
HOU,WN,1,223,55,0.19784172661870505,expon,"(1.0, 9.581818181818182)"
HOU,WN,2,275,316,0.5346869712351946,lognorm,"(1.2185317396134998, 0.11042301645053196, 12.13033308070905)"
HOU,WN,3,184,346,0.6528301886792452,lognorm,"(1.0882178485796976, -1.0386833101077506, 25.482937424859788)"
MEM,WN,1,27,11,0.2894736842105263,weibull_min,"(0.410644109394251, 1.9999999999999998, 25.282230898365704)"
MEM,WN,2,218,106,0.3271604938271605,lognorm,"(1.4495811972692625, 0.5375358381045807, 12.584780035725647)"
MEM,WN,3,7,7,0.5,expon,"(9.0, 80.42857142857143)"
MEM,DL,1,3,1,0.25,beta,"(1.040224686996357, 1.01459144868475, 10.999999999999998, 2.7952524209070948e-15)"
MEM,EV,1,2,1,0.3333333333333333,beta,"(1.0412764109014203, 1.0145644966519507, 4.999999999999999, 1.5237117999520997e-15)"
ISP,WN,1,269,40,0.12944983818770225,lognorm,"(1.6112586587893547, 0.627354143763103, 12.458580598571505)"
ISP,WN,2,293,118,0.2871046228710462,lognorm,"(1.200589818050173, -0.057800627443179785, 17.95933031584506)"
ISP,WN,3,196,144,0.4235294117647059,lognorm,"(1.426929871205905, 0.2257691312513502, 24.074290776578565)"
IAH,F9,2,3,10,0.7692307692307693,weibull_min,"(0.7248273587818573, 6.999999999999998, 20.87773714642468)"
IAH,UA,1,296,105,0.26184538653366585,weibull_min,"(0.6279447053259835, 0.9999999999999999, 10.142229429766449)"
IAH,UA,2,751,650,0.46395431834404,lognorm,"(1.3039918655029634, 0.2142731413354818, 13.978177109126138)"
IAH,UA,3,166,279,0.6269662921348315,weibull_min,"(0.6591859723304394, 0.9999999999999998, 73.75334112609738)"
IAH,NK,1,69,81,0.54,lognorm,"(0.8729060091261415, -1.004178453761189, 14.250085529209269)"
IAH,NK,2,61,127,0.6755319148936171,weibull_min,"(0.7999815678164011, 0.9999999999999999, 39.048848538254234)"
IAH,NK,3,2,10,0.8333333333333334,weibull_min,"(0.3216855997640735, 2.9999999999999996, 204.5806365708667)"
DTW,F9,2,32,9,0.2195121951219512,beta,"(0.828049214391877, 0.8566105190825307, 5.999999999999999, 20.003085230941693)"
DTW,WN,2,1,0,0.0,n/a,n/a
DTW,DL,1,203,128,0.3867069486404834,n/a,n/a
DTW,DL,2,679,306,0.31065989847715736,lognorm,"(1.4031010128106567, 0.5219808347860064, 10.13271963455696)"
DTW,DL,3,384,273,0.4155251141552511,lognorm,"(1.4605648881212145, 0.5510694245569328, 12.14183771159296)"
DTW,NK,1,159,90,0.3614457831325301,lognorm,"(0.8219481785105396, -0.8629725996949348, 9.602140820527659)"
DTW,NK,2,161,201,0.5552486187845304,expon,"(1.0, 33.92537313432836)"
DTW,NK,3,7,2,0.2222222222222222,expon,"(130.0, 226.5)"
BOS,B6,1,370,124,0.25101214574898784,expon,"(1.0, 14.483870967741936)"
BOS,B6,2,620,399,0.3915603532875368,lognorm,"(1.218431048712863, -0.22125927770077447, 16.99448470523322)"
BOS,B6,3,316,417,0.5688949522510232,lognorm,"(1.1679188957246556, -0.7508811390662204, 24.752895140101973)"
BOS,WN,1,6,8,0.5714285714285714,expon,"(2.0, 3.75)"
BOS,WN,2,4,4,0.5,weibull_min,"(0.09417925975739483, 8.999999999999998, 221.57471302514182)"
BOS,WN,3,1,0,0.0,n/a,n/a
BOS,DL,1,256,40,0.13513513513513514,lognorm,"(1.2675512203960317, 0.8040903169836602, 5.204875922501127)"
BOS,DL,2,126,125,0.4980079681274901,lognorm,"(1.0949412019583562, 0.13644266552577528, 16.046500872291737)"
BOS,DL,3,21,15,0.4166666666666667,expon,"(1.0, 214.46666666666667)"
MCI,WN,1,278,52,0.15757575757575756,lognorm,"(1.7777199465991202, 0.8648357674347252, 6.130398739283052)"
MCI,WN,2,201,138,0.4070796460176992,lognorm,"(1.4141594872785217, 0.4865202533663684, 9.78019859251511)"
MCI,WN,3,119,115,0.4914529914529914,weibull_min,"(0.8313119251441717, 0.9999999999999998, 46.77971082422758)"
MCI,DL,2,0,1,1.0,beta,"(1.0557598711362433, 1.0136330517922305, 63.99999999999999, 1.1059100690255959e-14)"
MCI,EV,2,3,2,0.4,expon,"(1.0, 23.5)"
STL,F9,1,58,19,0.24675324675324675,gamma,"(0.6790182877233906, 0.9999999999999998, 14.391291372473088)"
STL,F9,2,30,18,0.375,gamma,"(0.3314356825670387, 3.9999999999999996, 226.24367785018987)"
STL,F9,3,39,36,0.48,beta,"(0.70176976071933, 150.68103921466638, 0.9999999999999999, 3310.220796445289)"
STL,WN,1,272,33,0.1081967213114754,beta,"(0.5249952353724492, 14.961247939072134, 0.9999999999999999, 405.33638547529927)"
STL,WN,2,396,224,0.3612903225806451,lognorm,"(1.3998853602892725, 0.44060821894832924, 10.343891988839733)"
STL,WN,3,218,186,0.4603960396039604,lognorm,"(1.077159126502357, -0.9519322305294755, 26.47935763492366)"
BDL,B6,1,126,39,0.2363636363636364,triang,"(2.2196762533275267e-09, 0.9999999057986315, 32.12593275770292)"
BDL,B6,2,127,55,0.3021978021978022,lognorm,"(1.4535111316013647, 0.3263376702579982, 13.221916612814042)"
BDL,B6,3,167,173,0.5088235294117647,gamma,"(0.7448473291069251, 0.9999999999999999, 62.22934034459628)"
BDL,WN,1,267,47,0.14968152866242038,lognorm,"(1.1713734365407955, 0.5054693638348084, 7.922698689607872)"
BDL,WN,2,360,127,0.26078028747433263,lognorm,"(1.4511138289127516, 0.4484764830677681, 10.55171875805426)"
BDL,WN,3,82,64,0.4383561643835616,lognorm,"(1.3655103831710487, 0.7134152987944296, 33.25341097258778)"
BDL,EV,1,19,7,0.2692307692307692,expon,"(4.0, 13.142857142857142)"
BDL,EV,2,0,6,1.0,expon,"(13.0, 111.0)"
BDL,EV,3,1,0,0.0,n/a,n/a
MSY,WN,1,218,55,0.20146520146520147,beta,"(0.9441478301227808, 330.2776453087505, 0.9999999999999999, 2403.425674664328)"
MSY,WN,2,357,203,0.3625,lognorm,"(1.5021725214295905, 0.640024977512053, 9.094960323074918)"
MSY,WN,3,148,160,0.5194805194805194,lognorm,"(1.3362253858496977, 0.007191504915057498, 20.64057808361576)"
IND,F9,2,46,13,0.22033898305084745,lognorm,"(0.9315999406868908, 1.5352417523695912, 10.37303352551009)"
IND,F9,3,0,2,1.0,lognorm,"(8.70236404379483, 118.99999999999997, 2.2331207029129816)"
IND,WN,1,263,51,0.1624203821656051,lognorm,"(1.492714824337411, 0.6947070554974402, 7.2981507333547135)"
IND,WN,2,479,222,0.3166904422253923,lognorm,"(1.346916347512963, 0.5438856536465524, 12.822054597830139)"
IND,WN,3,127,86,0.40375586854460094,lognorm,"(1.0227311979896019, -2.060526500174303, 41.32496594567333)"
DAL,WN,1,210,62,0.22794117647058826,lognorm,"(1.0547446298853709, 0.4046176381770457, 6.246667404553052)"
DAL,WN,2,254,192,0.4304932735426009,lognorm,"(1.3130201476620393, 0.3373762707054269, 11.573630434334351)"
DAL,WN,3,120,176,0.5945945945945946,lognorm,"(1.2006434119706388, -0.28570330962935025, 18.929700395457083)"
CLT,WN,2,2,2,0.5,lognorm,"(8.367327288645562, 10.999999999999998, 0.43743072830141044)"
CLT,AA,1,166,119,0.4175438596491228,lognorm,"(1.072582334140253, 0.04411885756286352, 8.623452523451224)"
CLT,AA,2,318,377,0.5424460431654676,lognorm,"(1.3050327628908005, 0.19246126330133578, 11.39682028460711)"
CLT,AA,3,137,223,0.6194444444444445,lognorm,"(1.2630114359176, 0.0987572593409179, 21.130272908186036)"
CLT,US,1,174,171,0.4956521739130435,lognorm,"(1.027716836643804, 0.06815227415141314, 9.412820863623926)"
CLT,US,2,498,335,0.4021608643457383,lognorm,"(1.5124998506095189, 0.5876603875302495, 8.81617448059323)"
CLT,US,3,178,257,0.5908045977011495,lognorm,"(1.2614865458917177, -0.1527682572150035, 15.889244739366944)"
MKE,F9,2,15,27,0.6428571428571429,lognorm,"(1.3482986289111611, 0.38344795538884235, 12.811835548121131)"
MKE,WN,1,331,48,0.1266490765171504,lognorm,"(1.4271206392785716, 0.7757622375183973, 5.232096634337253)"
MKE,WN,2,318,159,0.3333333333333333,beta,"(0.7560365472670739, 209.47962744325918, 0.9999999999999999, 6764.937338798391)"
MKE,WN,3,214,135,0.3868194842406877,weibull_min,"(0.6826817435260087, 0.9999999999999999, 53.446744545487)"
MKE,DL,2,3,1,0.25,lognorm,"(1.3343223694815105, 1.9999999999999996, 4.4287231122058245e-16)"
MKE,EV,2,1,1,0.5,lognorm,"(1.530184118434313, 2.999999999999999, 1.203163669070354e-15)"
MSP,WN,2,20,9,0.3103448275862069,uniform,"(1.0, 11.0)"
MSP,WN,3,0,3,1.0,gamma,"(220.2205806254767, -1816.4862872381882, 9.233836921427049)"
MSP,DL,1,231,83,0.2643312101910828,expon,"(1.0, 9.08433734939759)"
MSP,DL,2,475,285,0.375,lognorm,"(1.4728106122212545, 0.6185560016299494, 8.213307185079165)"
MSP,DL,3,199,128,0.3914373088685015,lognorm,"(1.3160105322316147, -0.12414445653966592, 20.527145850605912)"
MSP,NK,1,60,0,0.0,n/a,n/a
MSP,NK,2,23,70,0.7526881720430108,lognorm,"(1.330355396905471, 1.3579920495105124, 13.828080439523186)"
MSP,NK,3,1,1,0.5,beta,"(1.000003768136243, 1.0000001875472697, 522.9997618756697, 0.00024997798715976113)"
MDT,F9,2,55,30,0.35294117647058826,lognorm,"(1.2519890644822502, 0.3556892345582454, 25.51584019405414)"
ORF,WN,1,215,27,0.1115702479338843,gamma,"(0.49424085630794834, 0.9999999999999998, 27.591358115574806)"
ORF,WN,2,68,59,0.4645669291338583,lognorm,"(1.5286187969726428, 0.29352940237411485, 17.422389356384354)"
ORF,WN,3,32,31,0.492063492063492,weibull_min,"(0.685326912164757, 0.9999999999999999, 34.11867498190331)"
BUF,B6,1,174,35,0.1674641148325359,expon,"(1.0, 11.314285714285715)"
BUF,B6,2,84,39,0.3170731707317073,lognorm,"(1.8080159655555506, 0.7629463105340664, 11.202868038163903)"
BUF,B6,3,28,27,0.4909090909090909,expon,"(1.0, 36.851851851851855)"
BUF,WN,1,310,30,0.08823529411764706,expon,"(2.0, 13.166666666666666)"
BUF,WN,2,361,156,0.3017408123791103,lognorm,"(1.3856848101241905, 0.32309036080013165, 15.033326957468084)"
BUF,WN,3,194,87,0.3096085409252669,gamma,"(0.6512785770060384, 0.9999999999999999, 91.6595370327528)"
BNA,WN,1,289,110,0.2756892230576441,gamma,"(0.08260393185663842, 0.9999999999999999, 1.742655783377799)"
BNA,WN,2,295,204,0.4088176352705411,lognorm,"(1.393315504267368, 0.4621689084036815, 10.728021709687098)"
BNA,WN,3,270,252,0.4827586206896552,lognorm,"(1.1270165363189146, -0.5185032499669343, 21.55948686079769)"
BNA,EV,1,1,0,0.0,n/a,n/a
BNA,EV,2,4,1,0.2,beta,"(1.0000128746032715, 0.999999713897705, 74.99987125396729, 0.0002499518394470215)"
HPN,B6,1,221,90,0.2893890675241157,lognorm,"(1.3399080676933774, 0.554225348246566, 8.084065616418485)"
HPN,B6,2,400,253,0.3874425727411945,gamma,"(0.827242453060782, 0.9999999999999973, 41.19567017147239)"
HPN,B6,3,151,129,0.4607142857142857,beta,"(0.6158472448366268, 31.725546420326936, 0.9999999999999999, 3662.6937005524046)"
HPN,EV,1,1,0,0.0,n/a,n/a
RDU,WN,1,290,34,0.10493827160493828,lognorm,"(1.8741900113593037, 0.9149941906405334, 4.52459354563363)"
RDU,WN,2,322,217,0.4025974025974026,lognorm,"(1.1441101301008532, -0.03346592584842539, 11.710349207461906)"
RDU,WN,3,63,50,0.4424778761061947,gamma,"(1.8969966023304834, -3.5999184966665547, 50.458648982715374)"
RDU,EV,2,3,0,0.0,n/a,n/a
ORH,B6,2,230,68,0.22818791946308725,lognorm,"(1.4820480545795056, 0.45871211546879986, 14.945844387929588)"
ORH,B6,3,19,15,0.4411764705882353,expon,"(3.0, 72.4)"
DAY,WN,1,82,4,0.04651162790697674,weibull_min,"(1.6218832194122532, -0.05113536800717522, 21.350737992619788)"
DAY,WN,2,170,74,0.30327868852459017,weibull_min,"(0.7627661058222284, 0.9999999999999999, 18.022342965472767)"
DAY,WN,3,8,10,0.5555555555555556,weibull_min,"(0.5014047122322176, 5.999999999999999, 86.26521607828053)"
CMH,WN,1,255,31,0.1083916083916084,weibull_min,"(0.7852257651537613, 1.9999999999999996, 18.283202734679588)"
CMH,WN,2,441,176,0.2852512155591572,lognorm,"(1.6778774744835894, 0.7472677521290131, 9.34350438421509)"
CMH,WN,3,71,76,0.5170068027210885,expon,"(2.0, 96.11842105263158)"
CMH,EV,2,2,0,0.0,n/a,n/a
ROC,WN,1,25,0,0.0,n/a,n/a
ROC,WN,2,283,71,0.20056497175141244,lognorm,"(1.4209762823301042, 0.3604071532733908, 16.359332921372918)"
ROC,WN,3,8,7,0.4666666666666667,expon,"(5.0, 138.28571428571428)"
AUS,B6,2,161,58,0.2648401826484018,lognorm,"(1.3031793194710355, 0.39143643882983226, 8.003608859600188)"
AUS,B6,3,49,108,0.6878980891719745,lognorm,"(1.2536046026163947, -0.09713623296526319, 20.02393615770281)"
AUS,WN,1,66,14,0.175,gamma,"(0.4249449463552736, 0.9999999999999999, 36.124800437996086)"
AUS,WN,2,183,123,0.4019607843137255,beta,"(0.7801863133745807, 87.58816392049624, 0.9999999999999999, 1614.039100518693)"
AUS,WN,3,88,148,0.6271186440677966,lognorm,"(1.1970525759710933, -0.17748850621288953, 20.68528102820173)"
GRR,WN,1,11,2,0.15384615384615385,lognorm,"(7.405327086216126, 5.999999999999998, 10.040493322013923)"
GRR,WN,2,203,70,0.2564102564102564,lognorm,"(1.5110190005541098, 0.6414275819336683, 15.217013092230204)"
GRR,WN,3,3,5,0.625,lognorm,"(7.208622478935275, 3.9999999999587335, 24.457001734740075)"
GRR,EV,1,11,1,0.08333333333333333,lognorm,"(1.576535557135068, 9.999999999999996, 3.494770071871157e-15)"
GRR,EV,2,0,2,1.0,expon,"(47.0, 7.5)"
CVG,F9,1,38,27,0.4153846153846154,lognorm,"(1.2170039003250035, -0.41906559386058867, 15.534393857123987)"
CVG,F9,2,121,37,0.23417721518987344,weibull_min,"(0.6680547412641913, 0.9999999999999998, 28.313382394660806)"
CVG,F9,3,5,68,0.9315068493150684,weibull_min,"(0.9308051189960225, 0.9999999999999998, 62.09056512446408)"
CVG,DL,1,251,32,0.11307420494699645,expon,"(1.0, 5.5)"
CVG,DL,2,207,103,0.33225806451612905,gamma,"(0.6685311592278429, 0.9999999999999999, 43.3194133968766)"
CVG,DL,3,1,0,0.0,n/a,n/a
FNT,WN,1,199,19,0.0871559633027523,weibull_min,"(0.6689532779913758, 0.9999999999999998, 7.991494416812749)"
FNT,WN,2,94,23,0.19658119658119655,gamma,"(0.5788491923029027, 0.9999999999999999, 47.885039776619905)"
FNT,WN,3,2,2,0.5,expon,"(149.0, 31.0)"
SAT,WN,1,149,34,0.185792349726776,gamma,"(0.6228767016001218, 0.9999999999999999, 18.407485581245375)"
SAT,WN,2,158,119,0.4296028880866426,lognorm,"(1.0942140444417967, -0.5543293107414466, 13.865828848177705)"
SAT,WN,3,6,29,0.8285714285714286,weibull_min,"(0.8309502676242917, 14.999999999999998, 56.726454680795925)"
SEA,DL,1,5,6,0.5454545454545454,expon,"(2.0, 11.333333333333334)"
SEA,DL,2,2,0,0.0,n/a,n/a
SEA,DL,3,2,0,0.0,n/a,n/a
SEA,AS,1,64,26,0.2888888888888889,lognorm,"(0.591301523092159, -4.752624332004931, 20.3077122800208)"
SEA,AS,2,229,104,0.3123123123123123,weibull_min,"(0.9190343949014008, 0.9999999999999998, 13.942824545577599)"
SEA,AS,3,1,0,0.0,n/a,n/a
SDF,WN,1,83,2,0.023529411764705882,expon,"(30.0, 4.0)"
SDF,WN,2,203,69,0.2536764705882353,lognorm,"(1.6535167402212627, 0.6600359325351534, 12.859800205807225)"
SDF,WN,3,2,8,0.8,expon,"(103.0, 131.875)"
SAN,WN,2,99,76,0.4342857142857143,lognorm,"(1.0652909258675871, 0.15586386166764155, 10.407540449605962)"
SAN,WN,3,27,76,0.7378640776699029,lognorm,"(1.3512358061052958, 0.4590693073833068, 21.20573383088872)"
SAN,AS,2,133,86,0.3926940639269406,lognorm,"(1.2240834286331044, 0.4326862133557666, 8.006674280933414)"
SAN,AS,3,2,6,0.75,beta,"(0.4538926930453316, 0.8334814723325817, 127.99999999999999, 81.03921984739983)"
ILG,F9,2,1,4,0.8,weibull_min,"(0.6638962980183742, 20.999999999999996, 34.48985637440717)"
ILG,F9,3,34,27,0.4426229508196721,weibull_min,"(0.7561995159915276, 1.9999999999999996, 61.260210038730094)"
LBE,NK,2,71,9,0.1125,lognorm,"(0.7191132278561874, 0.8611919364298817, 11.370999628022282)"
LBE,NK,3,90,148,0.6218487394957983,beta,"(0.8593433480158909, 6.06067886436096, 0.9999999999999999, 407.28413851875644)"
BHM,WN,1,106,33,0.23741007194244604,lognorm,"(1.2277607564169064, 0.5837453678149067, 5.073236249281882)"
BHM,WN,2,209,110,0.3448275862068966,lognorm,"(1.4086711348226153, 0.3104638370865277, 16.419874630391917)"
BHM,WN,3,100,102,0.504950495049505,weibull_min,"(0.7743797627625981, 0.9999999999999999, 38.05204023113676)"
SYR,B6,1,149,16,0.09696969696969696,beta,"(0.7392254593697075, 157.12544796799588, 0.9999999999999999, 1344.6750248216983)"
SYR,B6,2,38,11,0.22448979591836732,weibull_min,"(0.7204375731668178, 2.9999999999999996, 13.16813424567752)"
SYR,B6,3,64,56,0.4666666666666667,lognorm,"(0.8707667261731931, -4.075787786863049, 32.85281809318537)"
SWF,B6,2,128,96,0.42857142857142855,lognorm,"(1.178683064330085, -0.10549198371741253, 14.738485431275757)"
SWF,B6,3,60,50,0.4545454545454545,lognorm,"(1.7251410848882358, 0.5691507906142034, 25.62820088330575)"
TTN,F9,1,204,107,0.3440514469453376,lognorm,"(1.5684981393321435, 0.7095022265515332, 8.082277559326691)"
TTN,F9,2,53,64,0.5470085470085471,weibull_min,"(0.7619660644025363, 0.9999999999999999, 97.31824873376536)"
TTN,F9,3,18,40,0.6896551724137931,weibull_min,"(0.6202955617246739, 1.9999999999999996, 84.21584959410686)"
BMI,F9,2,2,3,0.6,beta,"(0.3782799519877821, 0.49454301729219474, 1.8992358137156553, 12.100764186284346)"
BMI,F9,3,5,24,0.8275862068965517,expon,"(2.0, 59.041666666666664)"
OMA,F9,2,20,13,0.3939393939393939,expon,"(3.0, 10.384615384615385)"
OMA,F9,3,4,1,0.2,beta,"(1.0000065026804807, 1.0000010142102842, 208.99977693520486, 0.00024996723514050237)"
OMA,WN,1,56,1,0.017543859649122806,beta,"(1.0412764109014203, 1.0145644966519507, 4.999999999999999, 1.5237117999520997e-15)"
OMA,WN,2,5,5,0.5,gamma,"(0.46995170980119294, 3.9999999999999996, 15.901663429173343)"
OMA,WN,3,21,7,0.25,expon,"(2.0, 56.57142857142857)"
MSN,F9,1,0,1,1.0,beta,"(1.0000032513402397, 1.0000005071051414, 419.9997758679092, 0.0002499836175702512)"
MSN,F9,3,11,5,0.3125,weibull_min,"(0.34444473657982555, 3.999999999999999, 21.916582379727203)"
PWM,WN,1,5,0,0.0,n/a,n/a
PWM,WN,2,2,0,0.0,n/a,n/a
ABQ,WN,2,63,16,0.20253164556962025,lognorm,"(1.3683442657674065, 0.7832732919525252, 4.586521360958878)"
ABQ,WN,3,2,18,0.9,weibull_min,"(0.7870206700445088, 10.999999999999996, 26.773643623390058)"
